name,url
"Products (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/
"Products (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/
"Products (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/
"Occupational Personality Questionnaire (OPQ) (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/
"Occupational Personality Questionnaire (OPQ) (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/
"Occupational Personality Questionnaire (OPQ) (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/
"Job-Focused Assessments (JFA) (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/job-focused-assessments/
"Job-Focused Assessments (JFA) (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/job-focused-assessments/
"Job-Focused Assessments (JFA) (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/job-focused-assessments/
"Motivational Questionnaire (MQ) (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/
"Motivational Questionnaire (MQ) (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/
"Motivational Questionnaire (MQ) (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/
"Situational Judgment Tests (SJT) (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/
"Situational Judgment Tests (SJT) (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/
"Situational Judgment Tests (SJT) (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/
"SHL Verify (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/cognitive-assessments/
"SHL Verify (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/cognitive-assessments/
"SHL Verify (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/cognitive-assessments/
"SHL 360 (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/360/
"SHL 360 (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/360/
"SHL 360 (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/360/
"Assessments (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/
"Assessments (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/
"Assessments (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/
"Behavioral Assessments (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/behavioral-assessments/
"Behavioral Assessments (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/behavioral-assessments/
"Behavioral Assessments (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/behavioral-assessments/
"Cognitive Assessments (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/cognitive-assessments/
"Cognitive Assessments (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/cognitive-assessments/
"Cognitive Assessments (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/cognitive-assessments/
"Personality Assessments (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/personality-assessment/
"Personality Assessments (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/personality-assessment/
"Personality Assessments (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/personality-assessment/
"Video Interviews (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/video-interviews/
"Video Interviews (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/video-interviews/
"Video Interviews (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/video-interviews/
"Skills & Simulations (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/skills-and-simulations/
"Skills & Simulations (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/
"Skills & Simulations (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/
"Call Center Simulations (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/
"Call Center Simulations (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/
"Call Center Simulations (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/
"Business Skills (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/skills-and-simulations/business-skills/
"Business Skills (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/business-skills/
"Business Skills (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/business-skills/
"Coding Simulations (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/
"Coding Simulations (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/
"Coding Simulations (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/
"Technical Skills (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/
"Technical Skills (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/
"Technical Skills (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/
"Language Evaluation (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/
"Language Evaluation (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/
"Language Evaluation (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/
"View all SHL ProductsGet the ultimate view of potential with SHL’s unmatched portfolio of assessments and interview technology. (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/
"View all SHL ProductsGet the ultimate view of potential with SHL’s unmatched portfolio of assessments and interview technology. (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/
"View all SHL ProductsGet the ultimate view of potential with SHL’s unmatched portfolio of assessments and interview technology. (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/
"Outsourced Assessments (VADC) (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/assessments/assessment-and-development-centers/
"Outsourced Assessments (VADC) (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/assessments/assessment-and-development-centers/
"Outsourced Assessments (VADC) (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/assessments/assessment-and-development-centers/
"View Product Catalog (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/product-catalog/
"View Product Catalog (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/product-catalog/
"View Product Catalog (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/product-catalog/
"Account Manager Solution (Knowledge & Skills, Adaptive: Yes)",https://www.shl.com/products/product-catalog/view/account-manager-solution/
"Account Manager Solution (Knowledge & Skills, Adaptive: No)",https://www.shl.com/products/product-catalog/view/account-manager-solution/
"Account Manager Solution (Personality & Behavior, Adaptive: No)",https://www.shl.com/products/product-catalog/view/account-manager-solution/
